Ê±¼ä,Inbound,Outbound
2021/6/2 16:50,20603882399,80245790860
2021/6/2 16:55,20342342297,79316770217
2021/6/2 17:00,19877061058,80127325041
2021/6/2 17:05,19004511313,79742169602
2021/6/2 17:10,18417011513,80197156809
2021/6/2 17:15,18456323148,80315562361
2021/6/2 17:20,18992914745,81239349075
2021/6/2 17:25,19189592010,81002423968
2021/6/2 17:30,19020108660,81725663177
2021/6/2 17:35,18915735998,81558564482
2021/6/2 17:40,18745382369,81853771244
2021/6/2 17:45,19006941185,82709369989
2021/6/2 17:50,19320495244,82072866378
2021/6/2 17:55,18864677848,82893221124
2021/6/2 18:00,18785259166,83696187754
2021/6/2 18:05,18084592002,79517284914
2021/6/2 18:10,17753379520,82329605948
2021/6/2 18:15,17460012649,82948298447
2021/6/2 18:20,18113747070,83835195074
2021/6/2 18:25,18408658001,83469517071
2021/6/2 18:30,18492540992,84408630965
2021/6/2 18:35,18650974304,84511957897
2021/6/2 18:40,18711248930,84731016046
2021/6/2 18:45,18779944279,84637641521
2021/6/2 18:50,18953839458,86001320773
2021/6/2 18:55,19247158552,84940522695
2021/6/2 19:00,19826079253,86394560955
2021/6/2 19:05,20206594683,86241127795
2021/6/2 19:10,20751588308,87800076025
2021/6/2 19:15,21521236492,87553759381
2021/6/2 19:20,21767574730,88056283516
2021/6/2 19:25,21491220326,88427382630
2021/6/2 19:30,21198964133,88881775636
2021/6/2 19:35,21702102899,89298911327
2021/6/2 19:40,21936838849,89069395337
2021/6/2 19:45,22677446873,90084582705
2021/6/2 19:50,23193722952,89872635739
2021/6/2 19:55,23636828129,91130581144
2021/6/2 20:00,23649571838,90877183230
2021/6/2 20:05,22881633138,89173067780
2021/6/2 20:10,22899429128,89854861879
2021/6/2 20:15,22740851069,89126532990
2021/6/2 20:20,22700614687,88372394010
2021/6/2 20:25,22458945780,89335516904
2021/6/2 20:30,22847801201,90469911172
2021/6/2 20:35,23062930044,92695338951
2021/6/2 20:40,23261286870,93738482312
2021/6/2 20:45,22797682477,91170757212
2021/6/2 20:50,23024434984,91543152624
2021/6/2 20:55,22656716462,90808467117
2021/6/2 21:00,22664610529,90823726089
2021/6/2 21:05,21943085549,88621752904
2021/6/2 21:10,21839310536,88866303526
2021/6/2 21:15,21877810530,89150376652
2021/6/2 21:20,21802523629,89205119535
2021/6/2 21:25,21189405224,86990657241
2021/6/2 21:30,21324618847,85739053769
2021/6/2 21:35,20779352865,84864841599
2021/6/2 21:40,20307206871,82499765767
2021/6/2 21:45,20426990663,83404865179
2021/6/2 21:50,20189706920,81757365998
2021/6/2 21:55,19867575812,81268604859
2021/6/2 22:00,19478474796,80040628457
2021/6/2 22:05,19288928248,80089946409
2021/6/2 22:10,18911061565,80036072499
2021/6/2 22:15,18777485727,78529219854
2021/6/2 22:20,18730097155,79833766066
2021/6/2 22:25,20446375294,81510269107
2021/6/2 22:30,20953989279,80495110588
2021/6/2 22:35,21087984969,79976875825
2021/6/2 22:40,21521485695,80556070889
2021/6/2 22:45,21363206696,79706583888
2021/6/2 22:50,21182358676,80223379016
2021/6/2 22:55,21191665799,79448925028
2021/6/2 23:00,21091546669,80280609606
2021/6/2 23:05,21930820575,84133371910
2021/6/2 23:10,21663996889,84788416724
2021/6/2 23:15,20927345248,83666210560
2021/6/2 23:20,21174486596,83850817171
2021/6/2 23:25,21101028566,82887287489
2021/6/2 23:30,20625131275,81484979677
2021/6/2 23:35,20300166581,79939916654
2021/6/2 23:40,20332437575,80124079845
2021/6/2 23:45,19653318725,79169251578
2021/6/2 23:50,19557300450,79719022904
2021/6/2 23:55,19269937809,78846908332
2021/6/3 0:00,19281775726,79160484538
2021/6/3 0:05,19403924847,79905148391
2021/6/3 0:10,19480785232,79274263224
2021/6/3 0:15,19609924753,78939826803
2021/6/3 0:20,19859883515,79222028747
2021/6/3 0:25,19904273958,78593198461
2021/6/3 0:30,19202601423,76261976553
2021/6/3 0:35,18624936333,74752147370
2021/6/3 0:40,17363867359,71330342694
2021/6/3 0:45,16438734911,67892621721
2021/6/3 0:50,16000693210,66009579839
2021/6/3 0:55,15173585505,63679298139
2021/6/3 1:00,14842022070,61695452579
2021/6/3 1:05,14898270540,63572570194
2021/6/3 1:10,14798333420,65346199652
2021/6/3 1:15,14760047467,61751877176
2021/6/3 1:20,14177941845,57201641790
2021/6/3 1:25,13782589922,55591708338
2021/6/3 1:30,13534236983,54691738440
2021/6/3 1:35,13161860436,53290739796
2021/6/3 1:40,12629511946,51506158880
2021/6/3 1:45,12263447288,49480361154
2021/6/3 1:50,11891412630,46955767169
2021/6/3 1:55,11533070505,45753859032
2021/6/3 2:00,11169264894,44355739003
2021/6/3 2:05,13352339148,48159133160
2021/6/3 2:10,13449056063,48394307297
2021/6/3 2:15,13674547764,47873153293
2021/6/3 2:20,13401482532,46472105645
2021/6/3 2:25,12981323149,45258768597
2021/6/3 2:30,12795227142,44162979189
2021/6/3 2:35,12942675934,43540997936
2021/6/3 2:40,12661358478,42237661715
2021/6/3 2:45,12128177272,40802827549
2021/6/3 2:50,12031276156,39470723864
2021/6/3 2:55,12391496812,38895751954
2021/6/3 3:00,12659995897,38579121460
2021/6/3 3:05,12205773131,37656186337
2021/6/3 3:10,11669754733,36109451750
2021/6/3 3:15,11483189356,34816577578
2021/6/3 3:20,11462942504,34291861516
2021/6/3 3:25,11205407024,32879048238
2021/6/3 3:30,11074490155,32780850763
2021/6/3 3:35,10737146796,31467848815
2021/6/3 3:40,10675505912,30539690485
2021/6/3 3:45,10052095631,29550869389
2021/6/3 3:50,10017226814,28527549863
2021/6/3 3:55,10196007766,28217194198
2021/6/3 4:00,9808444058,27697006552
2021/6/3 4:05,9599342275,27280487384
2021/6/3 4:10,9958780735,27321123313
2021/6/3 4:15,9602711831,26865142355
2021/6/3 4:20,9558430720,26324635111
2021/6/3 4:25,9486878278,25836598127
2021/6/3 4:30,9259412802,25556413707
2021/6/3 4:35,9704655588,25809542940
2021/6/3 4:40,9278938837,25135234577
2021/6/3 4:45,8877506258,24641587707
2021/6/3 4:50,8767077418,23804744530
2021/6/3 4:55,8814553789,23794640148
2021/6/3 5:00,8926433723,24149751860
2021/6/3 5:05,9492947550,25177279554
2021/6/3 5:10,9334147612,25218999338
2021/6/3 5:15,9483101674,25450969192
2021/6/3 5:20,9412780461,24961776889
2021/6/3 5:25,9408293385,25240945876
2021/6/3 5:30,9384191340,25666715647
2021/6/3 5:35,9189330227,25174072427
2021/6/3 5:40,9076619439,25122737574
2021/6/3 5:45,9355191221,25952590711
2021/6/3 5:50,9257439119,26735773283
2021/6/3 5:55,9325417808,27377810996
2021/6/3 6:00,8775330906,26203544354
2021/6/3 6:05,8806906132,26695199317
2021/6/3 6:10,8967674430,27488445690
2021/6/3 6:15,8767370313,27560906444
2021/6/3 6:20,8945651033,28724009077
2021/6/3 6:25,9280798197,29951338573
2021/6/3 6:30,9337523619,32609663696
2021/6/3 6:35,9659727121,35404729037
2021/6/3 6:40,9622475628,36281466317
2021/6/3 6:45,9661482615,37726043490
2021/6/3 6:50,9650761048,37540097086
2021/6/3 6:55,9506426534,37986713784
2021/6/3 7:00,9298361014,37732262703
2021/6/3 7:05,9659351581,41474725337
